epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,58442,1.08492,2.67607,1.15605,0.31693,0.27371,0.20207,0.15749,0.9705,2.4028,1.08362,4.8559e-06,4.8559e-06,4.8559e-06
93,59172.6,1.08067,2.65613,1.15052,0.31536,0.27176,0.20448,0.15987,0.9686,2.39071,1.08221,4.3708e-06,4.3708e-06,4.3708e-06
94,59920.2,1.06122,2.63298,1.14405,0.32989,0.26926,0.20695,0.16119,0.96746,2.38418,1.08128,3.8857e-06,3.8857e-06,3.8857e-06
95,60646.4,1.07452,2.63829,1.15368,0.33017,0.27276,0.20775,0.1626,0.96577,2.37746,1.08023,3.4006e-06,3.4006e-06,3.4006e-06
96,61462,1.07788,2.63631,1.15219,0.34262,0.26792,0.20862,0.16309,0.96527,2.37182,1.08006,2.9155e-06,2.9155e-06,2.9155e-06
97,62170,1.07998,2.63852,1.14895,0.33553,0.26579,0.20891,0.16337,0.96523,2.36849,1.07943,2.4304e-06,2.4304e-06,2.4304e-06
