epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,1375.26,1.38255,3.11932,1.23169,0.31121,0.15517,0.0906,0.06553,1.25761,2.77486,1.20171,3.05662e-05,3.05662e-05,3.05662e-05
40,1409.03,1.38504,3.10631,1.22301,0.32557,0.14399,0.09185,0.0662,1.25292,2.77227,1.1981,3.00811e-05,3.00811e-05,3.00811e-05
41,1442.6,1.37292,3.0906,1.22332,0.32326,0.14933,0.09302,0.06715,1.24862,2.75724,1.19013,2.9596e-05,2.9596e-05,2.9596e-05
42,1476.25,1.36925,3.07661,1.21366,0.33429,0.14753,0.09687,0.06985,1.24758,2.74933,1.18877,2.91109e-05,2.91109e-05,2.91109e-05
43,1509.94,1.36381,3.05243,1.21564,0.32691,0.15117,0.09871,0.07163,1.23377,2.73829,1.18156,2.86258e-05,2.86258e-05,2.86258e-05
44,1543.19,1.34738,3.02892,1.20886,0.31912,0.15187,0.10187,0.0742,1.23363,2.72966,1.18258,2.81407e-05,2.81407e-05,2.81407e-05
45,1577.05,1.34018,3.00858,1.20238,0.31517,0.16982,0.10567,0.07769,1.22358,2.70875,1.17559,2.76556e-05,2.76556e-05,2.76556e-05
46,1610.76,1.32629,2.98687,1.19989,0.29419,0.1702,0.10468,0.07704,1.21699,2.69279,1.17242,2.71705e-05,2.71705e-05,2.71705e-05
47,1644.45,1.32877,2.98028,1.19801,0.33008,0.16632,0.10746,0.07933,1.2113,2.68694,1.16922,2.66854e-05,2.66854e-05,2.66854e-05
48,1678.38,1.32885,2.97066,1.1905,0.30137,0.17075,0.1101,0.08124,1.21084,2.67632,1.16748,2.62003e-05,2.62003e-05,2.62003e-05
49,1712.07,1.30945,2.9467,1.18381,0.30148,0.16964,0.11377,0.08452,1.20262,2.66418,1.16208,2.57152e-05,2.57152e-05,2.57152e-05
50,1745.83,1.32845,2.95656,1.19255,0.30768,0.1735,0.11273,0.0837,1.20103,2.65186,1.15622,2.52301e-05,2.52301e-05,2.52301e-05
51,1779.44,1.29572,2.92696,1.17978,0.31818,0.1748,0.11808,0.08744,1.19861,2.6471,1.15754,2.4745e-05,2.4745e-05,2.4745e-05
52,1812.61,1.31228,2.92485,1.18301,0.31113,0.16806,0.11971,0.08878,1.19065,2.63483,1.15398,2.42599e-05,2.42599e-05,2.42599e-05
