epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1032.1,0.95414,6.10481,0.94066,0.00621,0.25296,0.00831,0.00686,0.7827,5.56552,0.8544,1.62834e-05,1.62834e-05,1.62834e-05
2,1892.52,0.87864,5.40792,0.887,0.34481,0.05396,0.0302,0.02645,0.74628,4.86444,0.85738,3.19709e-05,3.19709e-05,3.19709e-05
3,2689.22,0.86585,4.80159,0.88755,0.35527,0.08137,0.0609,0.0534,0.70768,4.20701,0.85756,4.70116e-05,4.70116e-05,4.70116e-05
4,3487.21,0.81467,4.27809,0.87965,0.33471,0.14748,0.09979,0.08802,0.66108,3.76419,0.84601,4.60894e-05,4.60894e-05,4.60894e-05
5,4273.82,0.78504,3.91021,0.87678,0.41789,0.17445,0.13882,0.12319,0.64214,3.43304,0.84415,4.51192e-05,4.51192e-05,4.51192e-05
6,5065.67,0.76428,3.65581,0.87215,0.39036,0.21711,0.17446,0.15579,0.61917,3.17643,0.84115,4.4149e-05,4.4149e-05,4.4149e-05
7,5862.73,0.74757,3.41213,0.87132,0.44881,0.25078,0.21813,0.19599,0.60876,2.96191,0.83923,4.31788e-05,4.31788e-05,4.31788e-05
8,6663.4,0.72856,3.23176,0.86956,0.44325,0.27428,0.25168,0.22614,0.5936,2.76972,0.83658,4.22086e-05,4.22086e-05,4.22086e-05
9,7428.79,0.7207,3.05568,0.86507,0.40453,0.3366,0.28368,0.25507,0.58229,2.6111,0.83538,4.12384e-05,4.12384e-05,4.12384e-05
10,8204.48,0.71378,2.91637,0.86696,0.42679,0.34077,0.30473,0.27489,0.57938,2.50095,0.83486,4.02682e-05,4.02682e-05,4.02682e-05
11,8988.27,0.69176,2.76225,0.86314,0.44516,0.365,0.33994,0.30566,0.56569,2.36686,0.83025,3.9298e-05,3.9298e-05,3.9298e-05
12,9819.41,0.6883,2.68947,0.86248,0.54183,0.36948,0.37304,0.33773,0.55825,2.25945,0.82986,3.83278e-05,3.83278e-05,3.83278e-05
13,10589.3,0.68412,2.58564,0.86162,0.45837,0.40339,0.39508,0.35684,0.5522,2.16051,0.82997,3.73576e-05,3.73576e-05,3.73576e-05
14,11376.2,0.67651,2.50517,0.85818,0.47809,0.43934,0.41871,0.37913,0.54674,2.10315,0.82925,3.63874e-05,3.63874e-05,3.63874e-05
15,12136,0.66634,2.42039,0.8558,0.53559,0.45511,0.44932,0.40713,0.54123,2.00523,0.82838,3.54172e-05,3.54172e-05,3.54172e-05
16,12909.9,0.65589,2.33526,0.85539,0.56192,0.46179,0.46809,0.42432,0.53724,1.94343,0.82746,3.4447e-05,3.4447e-05,3.4447e-05
17,13664.7,0.65311,2.24862,0.85379,0.54651,0.47384,0.48879,0.44354,0.5346,1.88428,0.82681,3.34768e-05,3.34768e-05,3.34768e-05
18,14433.8,0.64939,2.20685,0.85601,0.60102,0.47645,0.50078,0.4536,0.53178,1.83344,0.82642,3.25066e-05,3.25066e-05,3.25066e-05
19,15212.2,0.65135,2.17268,0.85656,0.59115,0.50714,0.51903,0.47207,0.52524,1.78073,0.82671,3.15364e-05,3.15364e-05,3.15364e-05
20,15979.5,0.63943,2.09256,0.85153,0.5645,0.51643,0.53011,0.48189,0.52019,1.73377,0.82384,3.05662e-05,3.05662e-05,3.05662e-05
21,16732.9,0.63399,2.03553,0.85168,0.58563,0.53183,0.54677,0.49706,0.51911,1.68058,0.8242,2.9596e-05,2.9596e-05,2.9596e-05
22,17499.9,0.63403,2.01086,0.85106,0.59295,0.54559,0.56264,0.51231,0.51465,1.64859,0.82221,2.86258e-05,2.86258e-05,2.86258e-05
23,18253.3,0.62408,1.95664,0.84992,0.59254,0.55209,0.57016,0.51954,0.51123,1.60659,0.82139,2.76556e-05,2.76556e-05,2.76556e-05
24,19014.3,0.62281,1.91609,0.84701,0.60162,0.56412,0.58329,0.5324,0.50727,1.56712,0.82064,2.66854e-05,2.66854e-05,2.66854e-05
