epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.7225,1.02446,6.06876,0.9475,0.00514,0.13374,0.00491,0.00416,0.90659,5.07213,0.85808,1.62837e-05,1.62837e-05,1.62837e-05
2,95.1084,0.96565,5.38681,0.88467,0.39036,0.03316,0.01859,0.01622,0.8823,4.29383,0.85459,3.13254e-05,3.13254e-05,3.13254e-05
3,130.444,0.94749,4.74443,0.88648,0.32434,0.07196,0.03792,0.03265,0.84638,3.71749,0.85216,4.50735e-05,4.50735e-05,4.50735e-05
4,166.211,0.90171,4.24296,0.88144,0.32387,0.10225,0.06308,0.05385,0.82093,3.29202,0.85269,4.31788e-05,4.31788e-05,4.31788e-05
5,201.738,0.87236,3.87711,0.87707,0.37903,0.11017,0.08722,0.07619,0.77854,3.02075,0.84878,4.12384e-05,4.12384e-05,4.12384e-05
6,237.587,0.84133,3.62256,0.87161,0.33772,0.14483,0.10954,0.09523,0.76355,2.83342,0.84574,3.9298e-05,3.9298e-05,3.9298e-05
7,272.942,0.8269,3.41531,0.87162,0.35138,0.16933,0.13435,0.11862,0.74871,2.65723,0.84359,3.73576e-05,3.73576e-05,3.73576e-05
8,308.637,0.81124,3.25502,0.86638,0.35439,0.18931,0.15784,0.13968,0.73832,2.52962,0.84237,3.54172e-05,3.54172e-05,3.54172e-05
9,344.636,0.79977,3.10986,0.86601,0.39725,0.19778,0.17793,0.15776,0.72284,2.42831,0.84041,3.34768e-05,3.34768e-05,3.34768e-05
10,380.384,0.79102,2.98998,0.86369,0.30983,0.23649,0.19287,0.17096,0.71169,2.32223,0.83754,3.15364e-05,3.15364e-05,3.15364e-05
11,415.95,0.76064,2.87128,0.86029,0.37215,0.25342,0.20944,0.18595,0.70589,2.23728,0.83679,2.9596e-05,2.9596e-05,2.9596e-05
12,451.063,0.77129,2.79897,0.86069,0.4083,0.25252,0.2328,0.2071,0.70458,2.17242,0.83591,2.76556e-05,2.76556e-05,2.76556e-05
13,486.559,0.75647,2.7393,0.85795,0.38397,0.26922,0.23974,0.21382,0.693,2.11097,0.83617,2.57152e-05,2.57152e-05,2.57152e-05
14,522.359,0.7538,2.66018,0.8585,0.32184,0.30558,0.24934,0.22164,0.68736,2.06817,0.83525,2.37748e-05,2.37748e-05,2.37748e-05
15,557.653,0.74904,2.60316,0.85665,0.38397,0.3015,0.26258,0.23489,0.68701,2.03295,0.83399,2.18344e-05,2.18344e-05,2.18344e-05
16,595.309,0.69813,2.74001,0.84901,0.35915,0.29023,0.25487,0.22606,0.70243,2.0169,0.83743,1.9894e-05,1.9894e-05,1.9894e-05
17,630.44,0.67832,2.62906,0.84406,0.35309,0.32561,0.272,0.24147,0.69508,1.97749,0.83563,1.79536e-05,1.79536e-05,1.79536e-05
18,665.333,0.68114,2.58582,0.8468,0.3993,0.32764,0.28291,0.25172,0.69389,1.94134,0.8348,1.60132e-05,1.60132e-05,1.60132e-05
19,700.143,0.67271,2.51758,0.84594,0.35168,0.35059,0.28975,0.2588,0.69036,1.91941,0.83427,1.40728e-05,1.40728e-05,1.40728e-05
20,735.094,0.66871,2.4868,0.84396,0.39421,0.35081,0.29734,0.26582,0.68705,1.89753,0.83413,1.21324e-05,1.21324e-05,1.21324e-05
21,770.003,0.67075,2.46307,0.84047,0.38569,0.35132,0.30405,0.27127,0.68623,1.86808,0.83389,1.0192e-05,1.0192e-05,1.0192e-05
22,804.827,0.65572,2.41891,0.83995,0.38363,0.34731,0.31033,0.27754,0.68387,1.86296,0.83299,8.2516e-06,8.2516e-06,8.2516e-06
23,839.331,0.65998,2.4037,0.83822,0.38526,0.35679,0.31224,0.27982,0.68043,1.85351,0.83293,6.3112e-06,6.3112e-06,6.3112e-06
24,873.981,0.64612,2.38449,0.83723,0.39666,0.3507,0.31245,0.27951,0.67918,1.84737,0.83331,4.3708e-06,4.3708e-06,4.3708e-06
25,908.786,0.65318,2.37566,0.83702,0.38741,0.37001,0.31567,0.28265,0.67711,1.83381,0.83264,2.4304e-06,2.4304e-06,2.4304e-06
